question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
Guiding planes are:,,1,Located adjacent to the edentulous area,Located far anterior to the edentulous area,Helps in the stability of the denture,Provides a different path of insertion and removal,Dental,,d282f15c-2838-42fd-8841-a94bd92981d9,single,Located adjacent to the edentulous area,Nan,Surfaces on teeth designed to guide the path of insertion and removal of a partial denture.
Reflex which never disappear:,,4,Walking and stepping reflex,Limb placement reflex,Parachute reflex,All of the above,Dental,,9823097b-b309-4de3-9a14-d93ff757fd5f,multi,All of the above,Nan,Blinking reflex
Vitamin D toxicity is treated with,"Ans. C. Dexamethasone* Dexamethasone is used in the treatment of hypercalcemia due to vitamin D toxicity. Glucocoicoid (Dexamethasone, prednisolone etc) therapy will decrease plasma calcium levels by blocking the action of vitamin D(1,25 D) which results in reduced intestinal calcium absorption and increased urinary excretion of calcium. * Other drugs like chloroquine and hydroxychloroquine are less effective in treating hypercalcemia due to vitamin D toxicity.",3,Chloroquine,Hydroxycholoquine,Dexamethasone,Ketoconazole,Pharmacology,,3e4d2174-1e88-4652-9aed-78e71215ffe8,single,Dexamethasone,Dexamethasone,Stopping vitamin D intake and restricting dietary calcium.
Which of the following is not the component of qSOFA?,qSOFA: Quick - SOFA Sequential 0rgan Failure Assessment Score. QRS - MS Score*Mn: Q- Quick SofaR- RR > 22/min - 1S- SBP < 100 mmHg -1MS= Altered Mental Status. - 1 Score Moality0 - < 1%1 - 2-3%2 - > 10%,4,Respiratory rate >22/min,Systolic BP<100 mmHg,Altered mental status,Unequally dilated pupils,Surgery,AIIMS 2019,e28c04ac-2003-4fa1-8b5c-7f36776cfa8a,multi,Unequally dilated pupils,Altered mental status,Blood pressure.
How much hone can be stretched at a time before it fractures:,,2,1%,2%,6%,8%,Surgery,,45f40e28-6c0a-4685-a936-8b993f3d8220,single,2%,20%,10-20% of its length.
Tonsils developed from:,,2,Ventral part of 3rd pouch.,Ventral part of 2nd pouch.,Dorsal part of 2nd pouch.,Ventral part of 3rd pouch.,Anatomy,,8ba2ca7c-9ae4-4771-9e9c-0e44250ca6b5,single,Ventral part of 2nd pouch.,2nd pharyngeal pouch,Pharyngeal pouches
Gutta Percha can effectively be sterilized by?,,2,Hot salt sterilizer,Chemical solutions,Autoclaving,Dry heat,Dental,,8105a0cd-88aa-4c17-9535-7a864b445264,single,Chemical solutions,Nan,Autoclaving
Which of these conditions  does not require SABE prophylaxis,,4,MR,ASD,MS,CABG,Surgery,,2639d0ba-ef15-4ba4-92fe-ee27b5758fbf,single,CABG,Nan,Atrial septal defect.
Motor supply of infrahyoid muscle is:,,1,Branches of cervical plexus,Vagus nerve,Glossopharyngeal nerve,Mandibular nerve,Anatomy,,d3349274-203b-4673-989c-ec86e66bcbab,single,Branches of cervical plexus,Ansa cervicalis,Ansa cervicalis
This direction of force can cause:,"A labially directed force against a maxillary incisor (from a removable or fixed appliance) will tip the tooth and cause an apparent intrusion of the crown, which reduces the overbite (or makes anterior open bite worse).",3,Reduce overbite,Worsen open bite,Both,,Dental,,58d38c9d-0440-4077-a581-e86b63ec4ecd,multi,Both,Intrusion of the crown,Compression.
Cystinuria is characterised by –,"Cystinuria

It is an autosomal recessive disorder.
The disease is caused by a defective high affinity transporter for L-cystine and diabasic amioacids present in the proximal tubules.
It is characterize by recurrent kidney stone formation.",4,Generalised aminoaciduria,Systemic acidosis,Deposition of cystine crystals in Renal tubular cells,Recurrent urinary caliculi,Pediatrics,,82f0f5d7-996b-49cc-8c8c-b9ff7cb35ecc,single,Recurrent urinary caliculi,Recurrent kidney stone formation,High cystine levels in urine.
"Patient with PPF transfusion complaint of breathing difficulty, tachycardic, tachypnia, Had Batwing sign present in X-ray. What will be the possible reason?","Answer- B. Due to overload of PPFTransfusion associated circulatory overload (TACO) is an established, but grossly under diagnosed and underrepoed complication of blood transfusion.",2,Transfusion related lung injury,Due to overload of PPF,Acute renal tubular acidosis,Hemoglobinuria,Medicine,,19567e6c-e0f7-4201-816d-23b58786f586,single,Due to overload of PPF,Due to overload of PPF,Transfusion-related acute lung injury (TRALI)
Which of these is not a theory of TMJ ankylosis?,,2,Calcification in the soft tissues around the joint space,Synovial fluid attracting calcium ions,Lateral displacement of fracture condyle with fusion  with zygomatic bone,Condylar burst,Surgery,,97028381-fe2a-4c81-9f67-b3125061d7ae,single,Synovial fluid attracting calcium ions,Nan,Traumatic.
Fingerprinting (FINDER) involves recording prints of 8 fingers. Which finger pair is excluded?,"Ans: C. Little finger(Ref: Reddy 34Ie p84, 33Ie p87; Parikh 6Ie p2.15).Fingerprint reader (FINDER):Computerized automatic fingerprint reading system which can record each fingerprint data in half second. Prints of eight fingers are recorded excluding little fingers.The light reflected from a fingerprint can be measured and conveed to digital data which is classified, codified and stored in the computer.",3,Ring finger,Thumb,Little finger,Middle finger,Forensic Medicine,,006fea5f-8d1c-489b-9ea6-1028a64484ab,single,Little finger,Little finger,Thumbs.
Impression compound is characterized by all the following except:,Impression compound is not a thermoset material.,2,Warps at room temperature,Is a thermoset material,Shows increased flow when kneaded with water,Low coefficient of thermal conductivity,Dental,,e8f48ed7-e417-422a-acde-9f7cb2c25416,multi,Is a thermoset material,Thermoset material,Elasticity
"In Galactorrhoea--amenorrhea syndromes, which is the investigation you should advise (apa from serum prolactin)?","Ans: A. TSH(Ref Harrison I9/e p2 p2267)Galactorrhea - amenorrhea syndromes:Serum prolactin &TSH advised.Laboratory diagnosis:Measure basal, fasting morning PRL levels - To assess hypersecretion.Normal PRL levels <20 ,ug/L.Markedly elevated PRL levels (>1000 ,ug/L) -Falsely lowered.Due to assay aifacts & aggregated circulating PRL forms.Sample dilution required for accurate measurement.Usually biologically inactive (macroprolactinemia).Measuring TSH and T4 levels - To exclude hypothyroidism.",1,TSH,LH,hCG,Urinary ketosteroids,Gynaecology & Obstetrics,,3592f545-8b31-4f41-9ccc-89eb67bc818a,single,TSH,TSH,MRI brain.
What is common in class I cavity preparation for amalgam and gold inlay?,,2,Buccolingually divergent walls,Mesiodistally divergent walls,Maximum depth is needed in both cases to provide sufficient thickness,All of the above,Dental,,db9a6989-4a10-421f-9808-ca852c6f64e6,multi,Mesiodistally divergent walls,All of the above,Retention form.
Periodontal surgery is best performed,,1,4 weeks after completion of the hygienic phase,8 weeks after the completion of the restorative phase,4 weeks before completion of occlusal adjustments,Immediately after the completion of the hygienic phase,Dental,,153cdf4a-8f6c-4478-8af5-2ef9d7a111b2,single,4 weeks after completion of the hygienic phase,Nan,by a periodontist.
Endocrine glands that are not influenced by the pituitary gland include the:,,2,"Thyroid gland, testes, and adrenal medulla","Adrenal medulla, parathyroids, and the islets of langerhans","Adrenal cortex, parathyroids and ovaries","Pancreas, adrenal medulla and thyroid gland",Physiology,,6920ce2b-f9c9-49aa-9e6e-c94aeb13e709,single,"Adrenal medulla, parathyroids, and the islets of langerhans",Nan,"Pancreas, parathyroid glands, and pineal gland."
Rooting reflex also known as search reflex disappears:,Rooting reflex disappears in 3-4 months but if both are in option then go for 4 months.,3,2 month,3 month,4 month,5 month,Dental,,8c968c9b-35b1-4394-959a-fe3c80e283e5,single,4 month,4 months,4 months
Migratory motor complexes in the gut reappear after intervals of:,"Ans: B. 90 minutes(Ref Ganong 25/e p496, 24/e p498)Migrating motor complexes in the gut reappear after intervals of 90 minutes.MMCs:Initiated by motilin.Circulating motilin increases at intervals of 100 min in interdigestive state.Coordinated with contractile phases of MMC.Contractions migrate aborally at a rate of about 5 cm/ min.",2,60 minutes,90 minutes,120 minutes,150 minutes,Physiology,,be168ef1-fee0-4f80-9c60-6259e78b56b9,single,90 minutes,90 minutes,90 minutes
IV ultrashort acting barbiturate:,,3,Meprobamate,Pentobarbitone,Thiopentone,Phenobarbitone,Pharmacology,,8b3e9e1d-8571-49ef-a5ef-806c18ad079e,single,Thiopentone,,Thiopental
The component that sensitizes bacteria and virus to UV irradiation,,4,Lipids,Carbohydrates,Inorganic salts,Nucleic acids,Microbiology,,9c1caee2-628f-4a80-b55e-8480760cb634,single,Nucleic acids,Nan,DNA
"All these are Included In active tissue engineering, except",,4,Antigens fibroblasts,Bilayered cell therapy,Enamel matrix derivative,Acellular dermal matrix,Dental,,58194611-8ffd-4405-83b2-f8e5798b095d,multi,Acellular dermal matrix,Nan,Non-living materials
For which of the following is PPV-23 is most beneficial:,Repeated microinfarction can destroy tissues having micro vascular beds prone to sickling. Thus splenic function is frequently lost within 18-36 months of life causing susceptibility to infection paicularly by pneumococci. So ( PPV-23) polysaccharide pneumococcal vaccine is beneficial in sickle cell anemia.,2,Cystic fibrosis patient,Sickle cell anemia patient,Patient with recurrent rhinitis and sinusitis,Child less than 2 years,Microbiology,AIIMS 2019,1bb2cc45-79b6-45f8-add8-e6832e5090f0,single,Sickle cell anemia patient,Sickle cell anemia,Adults aged 65 and older.
Characteristic histopathological feature of basal cell car cinoma is,,1,Nuclear palisading,Keratin pearls,Psammoma bodies,Foam cells,Pathology,,5a49f825-bf30-48d5-a10d-5bf1a3f5dd1c,single,Nuclear palisading,Nan,Palisading nuclei.
Most common mediastinal tumor:,"M/C Mediastinal tumor - Neurogenic tumor M/C anterior mediastinal tumor - Thymoma Mediastinal Tumors in Adults Tumor Type Percentage of Total Location Neurogenic tumors 21 Posterior Cysts 20 All Thymomas 19 Anterior Tumor Type Percentage of Total Location Lymphomas 13 Anterior/middle Germ cell tumors 11 Anterior Mesenchymal tumors 7 All Endocrine tumors 6 Anterior/middle Mediastinal Tumors in Children Tumor Type Percentage of Total Location Neurogenic tumors 400 Posterior Lymphomas 180 Anterior/middle Cysts 18 All Germ cell tumors 11 Anterior Mesenchymal tumors 9 All Thymomas Rare Anterior MEDIASTINAL MASSES (MM) MC anterior MM: Thymoma Q MC middle MM: Cyst (Pericardial cyst is MC) MC posterior MM: Neurogenic tumors MC MM (overall): Neurogenic tumors MM seen in all three compaments of mediastinum: Lymphoma, bronchogenic cyst & mesenchymal tumors IOC for diagnosis of MM (except neurogenic tumors): CT IOC for diagnosis of neurogenic tumors: MRI",1,Neurogenic tumor,Thymoma,Lymphoma,Bronchogenic cyst,Surgery,AIIMS 2019,2674faba-e6d7-4790-b13e-97c597408919,single,Neurogenic tumor,Neurogenic tumor,Thymoma
All are the branches of ECA that supply nasal septum except:,Internal Carotid System 1. Anterior ethmoidal aery 2. Posterior ethmoidal aery Branches of ophthalmic aery External Carotid System Sphenopalatine Aery Branches of Internal maxillary Aery Greater palatine Aery Superior labial Aery Branch of Facial Aery,1,Anterior ethmoidal aery,Sphenopalatine aery,Facial aery,Superior labial aery,ENT,AIIMS 2019,da2078b0-6ce5-4ba3-82f2-7b145665be2b,multi,Anterior ethmoidal aery,Internal carotid system,Anterior ethmoidal artery
All of these are continuous variables except:,"Ans: C. Blood groups A. B. ABORef High Yield Statistics/p13).Blood groups (A, B, ABO) is a discrete variable.",3,Height in cms,Weight in kg,Blood groups A. B. ABO,Age in years and months,Social & Preventive Medicine,,b771df48-ce3a-4e58-9dc8-54a42ee0e025,multi,Blood groups A. B. ABO,Blood groups A. B. AB,You need to provide the options for me to identify which one is not a continuous variable.
Which of the following type of tongue thrusting has the worst prognosis?,"Tongue thrusting has been variously described as a deviate swallow, visceral swallow, retained infantile swallow or reverse swallow.
Prognosis

Simple tongue thrusting - Excellent
Complex tongue thrusting - Good
Retained infantile swallow - Poor

Pediatric Dentistry, Principles and Practice / M.S. Muthu, N. Sivakumar - 2nd Ed",3,Simple,Complex,Retained infantile swallow,All of the above,Dental,,b0851fb1-a52d-49f5-bfd3-ae48a58c060a,multi,Retained infantile swallow,Retained infantile swallow,Anterior open bite.
CYP50 inhibition is least by:,"Ans: B. Rabeprazole(Ref: Goodman Gilman 12/e p1990; Katzung131e p1060, 12/e p1089; KDT 7/e p653).Rabeprazole:Exclusively metabolized by CYP2C19 and does not cause any inhibition of CYP450.Highest efficacy.Lansoprazole - Most potent.Rabeprazole & pantoprazole have no significant drug interactions.The FDA has issued a warning about a potentially impoant adverse interaction between clopidogrel and proton pump inhibitors.Proton pump inhibitors should be prescribed to patients taking clopidogrel only if they have an increased risk of gastrointestinal bleeding or require them for chronic gastro-esophageal reflux or peptic ulcer disease, in which case agents with minimal CYP2C19 inhibition (pantoprazole or rabeprazole) are preferred",2,Pantoprazole,Rabeprazole,Lansoprazole,Omeprazole,Pharmacology,,6bce210a-7174-4c76-b1f0-9bc3f5c835fc,single,Rabeprazole,Rabeprazole,Fluoxetine
Which of the following is a component of Pentalogy of Fallot –,"Peutalogy of fallot consists : -

Tetralogy of Faint --> VSD, Pulmonic stenosis, Overriding of aorta,Right ventricular hypertrophy
Atrial septal defect",1,Atrial septal Defect (ASD),Patent Ductus Arteriosus (PDA),Coarctation of Aorta (COA),Left Ventricular Hypertrophy (LVH),Pediatrics,,e6ba5355-f5fe-4095-9b21-1bf140122c8f,multi,Atrial septal Defect (ASD),VSD,Ventricular septal defect (VSD)
The contractile element in a skeletal muscle is present in:,,3,Sarcolemma,Sarcoplasm,Myofibril,Endomysium,Physiology,,c4bcd30a-daa7-4da1-9316-83c2cbb64532,single,Myofibril,,Sarcomere
Cherry red spot and Hollenhorst plaque are seen in:,"Ans: A. CRAO(licr Parson's 22/e p320-32l, 21 /e p313,314: Kanski 7/e p559-562: Yanoff and Duker 4/e p522)Cherry red spot & Hollenhorst plaque:Seen in both Central Retinal Aery Occlusion (CRAO) & BRAG.CRAO incidence is more common than BRAG.",1,CRAO,CRVO,Branch RAO,Branch RVO,Ophthalmology,,673a0bbe-b4d8-46bb-83b0-e01658f9f22f,single,CRAO,CRAO,Central retinal artery occlusion.
Optimal location for intra osseous anesthesia for mandibular second molars is,,2,Distal to the molar,Mesial to the molar,In the furcation area,Apical perforation and injection,Dental,,3419bb2a-2a24-4ddc-b217-ee00b981afeb,single,Mesial to the molar,Apical to the mental foramen,Lingual to the tooth.
Which statements is true regarding VENTOUSE :,,1,Minor scalp abrasions and subgaleal hematomas in new born are more frequent than forceps,Can be applied when foetal head is above the level of ischial spine,Maternal trauma is more frequent than forceps,Can not be used when fetal head is not fully rotated,Gynaecology & Obstetrics,,b0c6997a-bf16-4f7c-8c44-7a3504e0131b,multi,Minor scalp abrasions and subgaleal hematomas in new born are more frequent than forceps,All of the above,Assists childbirth.
"After cleaning and pumicing the tooth surface, plaque formation takes place within",,2,A few minutes,1/2 to 1 hour,2 to 4 hour,After 1 hour,Dental,,11efa366-1d2d-48a8-a247-a362a0447140,single,1/2 to 1 hour,,24 hours
Which of the following structure is not present on floor of third ventricle?,"Answer- B (Third nerve)The third nerve (Oculomotor) does not form the floor of the third ventricle although it lies in close relation to the floor.The anterior wall of the third ventricle is formed by Lamina terminalis, Anterior commissure, Anterior columns of the fornixThe posterior wall is formed by the Pineal body, Posterior commissure, Cerebral aqueduct.The roof is formed by Body of fornix and the ependyma lining the undersurface of the tela choroidea of the third ventricle.The floor of the third ventricle is formed by Optic chiasma, Tuber cinereum, Infundibulum, the Mammillary bodies, Posterior perforated substance, and Tegmentum of the midbrain. The lateral wall is formed by the Medial surface of the thalamus, Hypothalamus, and the Hypothalamic sulcus.",2,Optic stalk,Third nerve,Infundibulum,Mammillary body,Anatomy,,4df0486d-1aba-4df0-9a1f-fd86bb8acc9a,single,Third nerve,Third nerve,Hypothalamic sulcus
Speech problems in cleft palate patients are due to,,2,Lisping of tongue,Inability of soft palate to stop air to go into nasopharynx,Inability of learning process,All of the above,Surgery,,25357342-dfb9-4828-a49e-20f3701eb211,multi,Inability of soft palate to stop air to go into nasopharynx,Muscle imbalance,Velopharyngeal dysfunction.
"According to the WHO definition of hearing loss, what is the value to classify as profound hearing loss?","Ans: B. >81 dB(Ref: http://wwwwlio.intipbaideulne.ssilieuring_impairment_gracies/en/)According to the WHO (2008) definition of hearing loss, hearing threshold in better ear >81 dB is classified as profound hearing loss.WHO (2008) Classification of Degree of Hearing LossHearing threshold in better ear (average of 500, 1000, Grade of Impairment0-25No impairment26-40Milddeg impairment41-60Moderatedeg impairment61-80SevereQ impairment>81Profound impairment including",2,61-71 dB,>81 dB,>91 dB,>101 dB,ENT,,38810794-2735-4239-b36f-d9a509a2997f,single,>81 dB,>81 dB,90 dB or greater.
"What we will define it ""ratio of no. of death under 1 year of age to total live birth per 1000 live births per year""?",,1,Infant mortality rate,Child mortality rate,Child morbidity rate,Life expectancy rate,Dental,,c5b472d1-468e-437e-97fc-9b1c2411af53,single,Infant mortality rate,Infant mortality rate,Infant Mortality Rate (IMR)
"The necrotising pressure areas, undergoing bone resorption and endosteal bone formation",,2,Juvenile periodontitis,Occlusal trauma,Chronic suppurative periodontitis,ANUG,Dental,,e4610f09-b587-47c8-99ff-c8967f481322,single,Occlusal trauma,Nan,Osteomyelitis
CLED is better medium than MacConkey medium for processing of urine samples,"Answer- D. Allows staphylococcus,Streptococcus and candida to grow* CLED agar (cystine-lactose-electrolyte-deficient agar or medium) is a valuable non-inhibitorygrowth medium used in the isolation and differentiation ofurinary microbes* It suppos the growth of urinary pathogens and contaminants but prevents undue swarming of Proteus species due to its lack of electrolytes.",4,It differentiate LF from NLF Bacteria,Prevents swarming of proteus,Identifies pseudomonas,"Allows staphylococcus,Streptococcus and candida to grow",Microbiology,,3bd3eaf4-a529-4b2a-8d98-79249b580503,multi,"Allows staphylococcus,Streptococcus and candida to grow","Allows staphylococcus,Streptococcus and candida to grow",True
Pre-maturity in edge to edge position is relieved by reducing:,,1,Mandibular incisal edge.,Maxillary lingual fossa.,Both AB,Either AB,Dental,,e1eb342e-fe1e-49b1-a9d7-f8400b419aa6,multi,Mandibular incisal edge.,Both,Occlusal interferences
Most effective method of assessing breathing is by measuring:,,4,Tidal volume,Respiratory rate,Alveolar ventilation,FEV 1,Physiology,,b4c3fa06-01fe-4c3c-8521-25299a221d43,single,FEV 1,Respiratory rate,Respiratory rate.
Major aim of phase 1 clinical trials is:,"Phase 1 clinical trial : It is first phase in humans. It is conducted mainly on healthy volunteers. In drugs with serious adverse effects and where alternative treatment is not available, phase 1 can be conducted on patients also. Major aim is to know the maximum tolerable dose (MTD). The aim of phase 1 trials should be marked as MTD > Dose > Pharmacokinetics > Safety",3,Safety,Efficacy,Dose,Pharmacokinetics,Pharmacology,AIIMS 2018,3b150083-1a5e-49ef-bc36-41a06b677b32,single,Dose,Knowing the maximum tolerable dose,Safety assessment
The blood pressure data of 200 persons were collected. The first quaile BP of the data was 94 mm Hg and third quaile was 110 mm. How many patients have blood pressures between the 3rd and 4th quaile?,"Ans: B. 50Quaile:Type of quantile.In descriptive statistics - Quailes are ranked set of data values.Are 3 points dividing data set into four equal groups.Each group comprising quaer of data.1stquaile (Q1):25' percentile (splits off lowest 25% of data from highest 75%).2ndquaile (Q2):50' percentile (cuts data set in half).3rdquaile (Q3):75"" percentile (splits off highest 25% of data from lowest 75%).Interquaile range (IQR):Difference between upper & lower quailes.IQR = Q3 - Q1.Per question:Between every two quailes one/ fouh of total number of patients present.I.e. 200/4 = 50 patients.",2,25,50,100,200,Social & Preventive Medicine,,fe1ce20a-009c-45a2-8279-bff1d2e4abcf,single,50,50,50 patients.
Which of the following defines the pressure in the vascular system in the absence of blood flow? (Asked twice),"Answer- C. Mean circulatory filling pressureMean Circulatory Filling pressure (MCFP) is equilibrium pressure that is reached throughout the cardiovascular system when cardiac output is stopped completely. MCFP can be measured by stopping blood flow (e.g., by stopping hea pumping by giving shock to hea with electricity) and allowing the pressure throughout the circulatory system to reach equilibrium. MCFP is equilibrium pressure everywhere in circulation.",3,Pulse pressure,Critical closing pressure,Mean circulatory filling pressure,Perfusion pressure,Physiology,,b687604e-5145-4aa3-ba07-56c624e501ec,single,Mean circulatory filling pressure,Mean circulatory filling pressure,Hydrostatic pressure
Best parameter for ultrasound evaluation of IUGR is:,"“Abdominal circumfernece (AC) is the single most sensitive parameter to detect IUGR. Serial measurements of AC and estimations of fetal weight are more diagnostic to fetal growth restriction.”
Dutta 7/e, p 463
“The biometric parameters, AC is most affected by fetal growth”
Williams 24/e, p 199",3,Placental membrane,Length of femur,Abdominal circumference,BPD,Gynaecology & Obstetrics,,e5e1f694-5bce-4ea7-8d47-b629076533e1,single,Abdominal circumference,Abdominal circumference,Abdominal circumference (AC)
"According to WHO classiﬁcation of periapical pathology, sinus to oral cavity comes  under:",,4,4.6,4.6,4.61,4.62,Dental,,73818dbb-2bd3-4c46-a06a-b18b6ddb5450,single,4.62,Nan,Radicular cyst
"In a child, surgery was done for biliary stricture with hepatojejunal anastomosis. Postoperative bilirubin level after 2 weeks was 6 mg/dL from a preoperative level 12mg/dL. The reason for this could be:","Ans: C. Delta bilirubin(Ref Harrison 19/e p280, 18/e p325)Delta Bilirubin:Albumin-linked bilirubin fraction (delta fraction/biliprotein)Is pa of direct-reacting bilirubin fraction including conjugated bilirubin, covalently linked to albumin.Represents an impoant fraction of total serum bilirubin in patients with cholestasis & hepatobiliary disorders.Clearance rate of albumin-bound bilirubin from serum approximates half-life of albumin (12-14 days) rather than sho half-life of bilirubin (4 hours).Due to tight albumin bonding.",3,Normal lowering of bilirubin takes time,Anastomotic stricture,Delta bilirubin,Mistake in lab technique,Pediatrics,,790947ee-b119-4f1f-ac07-8f0c5a701010,single,Delta bilirubin,Delta bilirubin,Incomplete stricture relief.
"A 2 month old girl has failure to thrive, polyuria and medullary nephrocalcinosis affecting both kidneys. Investigations show blood pH 7.48, bicarbonate 25 mEq/l, potassium 2 mEq/l, sodium 126 mEq/l and chloride 88 mEq/l. The most likely diagnosis is -","Clinical features of the infant --> Polyuria, Growth retardation, Medullary Nephrocalcinosis Electrolyte abnormalities: -

Decreased potassium (Normal 3.5 — 5.0 meq/L)                 o Normal Bicarbonate (Normal 21-30 meq/L)
Decreased sodium (Normal 136 — 145 ineq/L)                    o Increased pH (Normal 7.38 — 7.44 meq/L)
Decreased Chloride (Normal 98 — 106 meq/L) 
	C/F and electrolyte abnormalities in Bartter's syndrome

a Hypokalemia                                o Polyurea and Nocturea (d/t hypokalemia)

Metabolic alkalosis                    ❑ Increased urinary chloride (cause Hypochloremia)
Normal to low blood pressure o Hypomagnesemia (seen in minority of patient)
Growth retardation                    o Hypercalciurea (causes nephrocalcinosis which is visible on ultrasound) Other options

Distal renal tubular acidosis      - It can be easily ruled out as it causes acidosis not alkalosis
Primary hyperaldosteronism - In primary hyperaldosteronism, Sodium level is always increased and the B.F. is high.
Pseudo hypoaldosteronism             - Aldosterone level is normal or increased but there are features of aldosterone deficiency such as decreased sodium and increased potassium.",3,Distal renal tubular acidosis,Primary hyperaldosteronism,Bartter syndrome,Pseudohypoaldosteronism,Pediatrics,,8d0b854f-93fb-43ae-a1b9-d489ea68103b,multi,Bartter syndrome,Bartter's syndrome,Bartter syndrome
Resin teeth:,,4,Show a high compressive strength,Contraindicated in patients with decreased inter occlusal distance,Show crazing,Show a high fracture strength,Dental,,6eb7d429-53f8-4d51-b861-81ab063b0973,single,Show a high fracture strength,Nan,Artificial teeth made from synthetic resin.
"In alpha-thalassemia trait,electrophoresis shows:March 2005","Ans. B: Normal HbF and normal HbA2Alpha (0) thalassemia -Individuals with this disorder are not able to produce any functional alpha-globin and thus are unable to make any functional hemoglobin A, F, or A2. This leads to the development of hydrops fetalis, also known as hemoglobin Ba, a condition that is incompatible with extra uterine life.Alpha (+) thalassemia - genetic mutations that result in decreased production of alpha-globin usually due to the functional deletion of 1 of the 4 alpha globin genes. Based on the number of inherited alpha genes, it is subclassified into 3 general forms:Thalassemia (-u/ a a) is characterized by inheritance of 3 normal a-genes. These patients are referred to clinically as silent carrier of alpha thalassemia. Other names for this condition are alpha thalassemia minima, alpha thalassemia-2 trait, and heterozygosity for alpha (+) thalassemia minor. The affected individuals exhibit no abnormality clinically and may be hematologically normal or have mild reductions in red cell mean corpuscular volume (MCV) and mean corpuscular hemoglobin (MCH).Inheritance of 2 normal alpha genes due to either heterozygosity for alpha (0) thalassemia (u a/ --) or homozygosity for alpha (+) thalassemia (-u/-a) results in the development of alpha thalassemia minor or alpha thalassemia-1 trait. The affected individuals are clinically normal but frequently have minimal anemia and reduced mean corpuscular volume (MCV) and mean corpuscular hemoglobin (MCH).Inheritance of one normal alpha gene (-a/ --) results in abundant formation of hemoglobin H. This condition is known as ElbH disease. The affected individuals have moderate to severe lifelong hemolytic anemia, modest degrees of ineffective erythropoiesis, splenomegaly and variable bony changesPersons with alpha-thalassemia traits have normal HbA2 and HbF levels whereas beta- thalassemia patients have elevated HbA2",2,Increased HbF and normal HbA2,Normal HbF and normal HbA2,Normal HbF and decreased HbA2,Decreased HbF and normal HbA2,Medicine,,3084edf2-d176-43aa-87f4-412ea4098b47,single,Normal HbF and normal HbA2,Normal HbF and normal HbA2,Normal HbA2 and HbF levels
Zone of stimulation contains all except:,"The reaction of the periradicular tissues to noxious products of tissue necrosis, bacterial products and antigenic agents from the root canal has been described by Fish.
The four zones 

Zone of infection
Zone of contamination
Zone of irritation
Zone of stimulation


Zone of Infection:


This is present in the center of the lesion.
It is characterized by PMNL's.


Zone of Contamination:


It is characterized by round cell inﬁltration.
It demonstrates cellular destruction due to toxins from the central zone or zone of infection. Because of autolysis and death of bone cells, the lacunae were empty.
Lymphocytes are prevalent everywhere.


Zone of Irritation:


This zone is characterized by macrophages and osteoclasts.
The collagen framework was digested by phagocytic cells, the macrophages, while osteoclasts attacked the bone tissue. This opens a gap in the bone all around the center of lesion. That space becomes ﬁlled with PMNL's.
This zone demonstrates much activity preparatory to repair.


Zone of Stimulation: (Peripheral zone)


This zone is characterized by ﬁbroblasts and osteoblasts.
In this zone, the eﬀects of toxins were mild enough to be stimulant which results in laying down of collagen ﬁbers around the zone of irritation that acts both as a wall of defense and as a scaﬀolding on which the osteoblasts built new bone.
This new bone was built in an irregular fashion.",2,Fibroblasts,Osteoclasts,Osteoblasts,New bone formation,Dental,,362a094c-f1d9-4faa-97ab-48242be3dd4b,multi,Osteoclasts,Osteoclasts,Inhibitory synapses
Minimum number of lobes require to form a tooth,,1,1,2,3,4,Dental,,00667233-3ef5-4759-bac2-850f41c6cdfc,single,1,3,4
In the odontoblastic layer the following connections is/are found,,4,Zona adherens,Gap junctions,Zonula occludens,All of the above,Dental,,e6b676f8-26ba-42f6-9bd2-739abf1c039a,multi,All of the above,Nan,Gap junctions
All are features of Neonatal Tetanus except –,"Neonatal Tetanus 


It is caused by clostridium tetani
Clinical features


Symptoms of neonatal tetanus starts by 5-15 days after birth, never in the first 2 days of life and rarely after the age of 2 weeks. (ft is commonly k/a as 811! day disease)
Common initial symptoms are Excessive unexplained crying, Refusal of feeds, Apathy


Prognosis —> Mortality rate varies from 50-75%.",3,Refusal to feed is common initial symptom,Caused by clostridium tetani,Usually occurs in 1st 2 days of life,Mortality is 50–75%.,Pediatrics,,e6478418-d6bb-47d3-b31c-a19b3a149a6c,multi,Usually occurs in 1st 2 days of life,Symptoms within 2 days of birth,Maturation of nervous system
"In assessing infant deaths, Ploucquet's test involves:","Ans: C. Change in paial weight of lungs(Ref: Reddy 34/e p411, 33/e p439).In assessing infant deaths, Ploucquet's test involves change in paial weight of lungs.Ploucquet's test:The blood flow in the lung beds is so increased after breathing that their weight is almost doubled from 1/70 of the body weight before respiration to 1/35 after respiration.This increase in weight is not constant and is not a reliable indication of breathing.",3,Change in specific gravity of lungs,Presence of air in stomach and duodenum,Change in paial weight of lungs,Air in middle ear,Forensic Medicine,,070ff387-f612-43ac-a23e-ab3e8ed192b4,single,Change in paial weight of lungs,Change in paial weight of lungs,Water lung flotation.
