question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Cross sectional from and dimension of lingual bar major connector is:,,2,4 gauge full pear shape,6 gauge half pear shape,6 gauge round shape,gauge flat,Dental,,1bf946f2-32f3-4345-aeae-7a58a68a6f1d,single,6 gauge half pear shape,6 gauge half pear shape,0.9999998807907104,0.963045299053192,0.9999998807907104,0.9285363554954528,0.7933785915374756,2
"A 22 year old college boy with history of sex with commercial workers came to Derma OPD with lesion in genital region, tissue from this lesion was examined, which is the most likely finding?","MOLLUSCUM CONTAGIOSUM VIRUS It is an obligate human pox Virus that produces characteristic skin lesions. Clinical Manifestations Pink pearly wa-like lesions (2-5 mm size),umbilicated with a characteristic dimple at the centre. Lesions are characterized by: - Lack of associated inflammation and necrosis - Found singly or in clusters Distribution: lesions are found anywhere on the body except on palms and soles. Genital lesions are seen in adults Molluscum bodies are the Intracytoplasmic Eosinophilic inclusions seen in skin scrapings stained with histopathological stains.",1,Intracytoplasmic vacuolations,Multinucleated giant cells,Belongs to Herpes family,It's a RNA virus,Microbiology,AIIMS 2019,7cc17f9f-5ecd-4e71-b32f-74fdf3a6537b,single,Intracytoplasmic vacuolations,Intracytoplasmic vacuolations,0.9999999403953552,0.9999999403953552,0.7396480441093445,0.6302449703216553,0.6272055506706238,1
Which of the following is advantage of sub-marginal flop?,,1,Cause less gingival shrinking,Cause Less scars,Less intra-operative bleeding,None of the above,Dental,,874d4aa8-bd34-404b-82a4-acc9bd5a62a9,multi,Cause less gingival shrinking,All of the above,0.640470027923584,0.640470027923584,0.6519830822944641,0.6183683276176453,0.9489848613739014,4
Glossy smooth margins of a casting are due to:,,3,Shrinkage of alloy on cooling,Investment breakdown,Incomplete wax elimination,Incomplete gas elimination,Dental,,127f11db-dde3-4ebf-9748-9c2e56708e84,multi,Incomplete wax elimination,Option 1: Shrinkage of alloy on cooling,0.7611773610115051,0.928257942199707,0.7110815048217773,0.7611773610115051,0.7530288696289062,1
What is the working time of zinc polycarboxylate cement?,"Control of Working Time

The working time for polycarboxylate cement is much shorter than that for zinc phosphate cement, approximately 2.5 versus 5 minutes.  
The graph shows the relative viscosities and working times of zinc phosphate, polycarboxylate, and GICs as they set. 
A cool slab lengthens the working time for zinc carboxylate cement, although it causes the polyacrylic acid to thicken, which hinders mixing. 
Refrigerating the powder is useful, because it retards the reaction without raising the viscosity of the liquid.
Polycarboxylate cements are more viscous than a comparable mix of GIC; however, the polycarboxylate mix undergoes thinning at an increased shear rate. 
Clinically, this means that rapid spatulation and fast seating will reduce the viscosity of the polycarboxylate cement to ensure complete seating.",3,1 minute,2 minutes,3 minutes,4 minutes,Dental,,3569a377-99ad-4363-bb2c-ad95cb9f3a03,single,3 minutes,2.5 minutes,0.8552930355072021,0.7982009053230286,0.8768596053123474,0.8552930355072021,0.8488675355911255,2
Risk factors for Coronary artery disease are all except,,4,Smoking,Increased fibrinogen level,Hypertension,Alcohol consumption,Medicine,,067c672c-d753-487d-aa0b-d6e73f98aa2d,multi,Alcohol consumption,All of the above,0.5790374279022217,0.6332510709762573,0.6099574565887451,0.5762462019920349,0.5790374279022217,1
"In esophageal varices bleeding, which of the following is not used?",Answer- C. Platelet transfusionBeta-blockersEndoscopic sclerotherapyEndoscopic variceal ligation (banding)A medication called octreotide - will lower the pressure in the swollen veins by tightening the blood vessels and reducing blood flow.Transjugular intrahepatic poosystemic shunt (TIPS) procedure is another potential treatment option for recurrent bleeding esophageal varices,3,Endoscopy banding,Octreotide,Platelet transfusion,TIPS,Surgery,,4720c165-03b3-4a1a-9e51-1f36c0bcd1be,single,Platelet transfusion,Platelet transfusion,1.0,0.7376887202262878,0.690461277961731,1.0,0.6319824457168579,3
Posterior pituitary insufficiency leads to:,"ADH SYNTHESIS IN SUPRAOPTIC AND PARAVENTRICULAR NUCLEI OF THE HYPOTHALAMUS AND ADH RELEASE FROM THE POSTERIOR PITUITARY
Figure shows the neuroanatomy of the hypothalamus and the pituitary gland, where ADH is synthesized and released. The hypothalamus contains two types of magnocellular (large) neurons that synthesize ADH in the supraoptic and paraventricular nuclei of the hypothalamus, about five sixths in the supraoptic nuclei and about one sixth in the paraventricular nuclei. Both of these nuclei have axonal extensions to the posterior pituitary.
The most important renal action of ADH is to increase the water permeability  of  the  distal  tubule,  collecting  tubule, and collecting duct epithelia. This effect helps the body to conserve water in circumstances such as dehydration. In the absence of ADH, the permeability of the distal tubules and collecting ducts to water is low, causing the kidneys to excrete large amounts of dilute urine, a condition called diabetes insipidus. Thus, the actions of ADH play a key role in controlling the degree of dilution or concentration of the urine.",2,Diabetes mellitus,Diabetes insipidus,Dwarfism,Cretinism,Physiology,,9aea1874-b4cf-4ba0-8de4-ac60866796ba,single,Diabetes insipidus,Diabetes insipidus,1.0,0.8295300602912903,1.0,0.688244104385376,0.689570426940918,2
All are used in preterm labour to decrease uterine contractility except:,,4,Methyl alcohol,Ritodrine,Magnesium sulphate,Dexamethasone,Gynaecology & Obstetrics,,7bc43b0e-3731-49ad-a734-c924220e3deb,multi,Dexamethasone,Methyl alcohol,0.7472987771034241,1.000000238418579,0.7276226282119751,0.766129195690155,0.7472987771034241,1
Site specificity is seen in:,,2,Syphilis,Recurrent herpes Labialis,Carcinoma,Traumatic aphthous ulcer,Pathology,,cd385d3e-f948-4dbf-bccb-3e67436a580b,single,Recurrent herpes Labialis,Syphilis,0.681605339050293,1.0,0.681605339050293,0.7046705484390259,0.682557225227356,1
Remodelling theory of craniofacial growth was given by,,1,Brash,John hunter,Vander Klauuw,Sicher & Weinmann,Dental,,9a664b49-9962-466f-a160-3ae2036dd720,single,Brash,Sicher & Weinmann,0.6167353391647339,0.6167353391647339,0.6275375485420227,0.6072072386741638,0.9999999403953552,4
"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?","Since 11 is mature and has complete root formation, RCT will be preferred for this tooth.
Due to immature status of 12 as evident from blunder- buss canal revascularization should be attempted for this tooth.",2,Apexification of 12 and RCT of 11,Revascularization in 12 and RCT of 11,RCT of 12 and 11,Extraction of 12 and RCT in 11,Dental,,17cb7e3f-0ca7-4937-a407-76bf9f401143,single,Revascularization in 12 and RCT of 11,Option 2: Revascularization in 12 and RCT of 11,0.9502134323120116,0.8714444637298584,0.9502134323120116,0.8476412296295166,0.8746664524078369,2
Lymphocytes found in the pulp proper are:,"Lymphocytes, both T and B, are found in cell-rich zone and function in an immune capacity of the pulp.
But in pulp-proper zone, only T-lymphocytes are present.",1,T lymphocytes,B lymphocytes,Both,,Dental,,56f96be4-b9c5-4ddf-bb48-1f01e541184f,multi,T lymphocytes,Both,0.5347411632537842,0.5347411632537842,0.5571817755699158,1.0000007152557373,0.7936570048332214,3
"A 2 months old child was brought to the subcenter by his mother with complaints of fever for two days. Weight of the child is 2 kg. On examination, the child is restless and irritable, skin pinch went back in 2 seconds, oral mucosa is dry and eyes were sunken. There were ten pustules on his forehead. What should be done at the subcenter?","Ans: C. Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.(Ref .Ghai 8th/e p752-753: IMNCI Guidelines).Multiple signs of possible serious bacterial infection (10 skin pustules, diarrhea with severe dehydration & weight = 2 kg which is <-3SD).Hence, child should be immediately given first dose of injectable antibiotic, kept warm & referred to hospital with sips of ORS along the way",3,Refer to higher center with mother giving frequent sips of ORS.,"Immediately admit the child, give IV fluids and then refer to higher center.",Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.,Send child home with few packets of ORS and call after 3 days.,Pediatrics,,bd279945-7401-4ea3-9f54-bcda518ecc9c,multi,Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.,Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way,0.99035906791687,0.8439967036247253,0.8188687562942505,0.99035906791687,0.8004195094108582,3
"In a left skewed curve, true statement is:",,2,Mean = Median,Mean < Mode,Mean >Mode,Mean = Mode,Dental,,91b1635b-021f-4945-bb1d-5bdeed6389f4,multi,Mean < Mode,Mean > Mode,0.9404346346855164,0.8441638350486755,0.9404346346855164,1.0,0.9168077707290648,3
Which of the following are seen in ectodermal dysplasia?,"Hyper pyrexia due to hypohidrosis, hypotrichosis, hypodontia, protuberant lips and depressed nasal and supraorbital bridges are important features of ectodermal dysphasia",4,Hyperpyrexia,Protuberant lips and frontal bossing,Defective or absence of sweat glands,Any of the above,Pathology,,cb19c2ac-3ade-4f32-9a3f-64f3d6efd517,multi,Any of the above,All of the above,0.937095582485199,0.58244389295578,0.6354627013206482,0.6343479156494141,0.937095582485199,4
A 60-year-old has got severe bulla and target lesion which erythema around halo and genital lesions:,"Stevens — Johnson syndrome is very severe bullous form of erythema multiformae and is characterized by oral, ocular and genital lesions.",1,Stevens Jhonson syndrome,Herpes zoster,Herpes simplex,Herpangina,Pathology,,e03a6d53-0c8b-4bf7-9710-c19083bcb018,single,Stevens Jhonson syndrome,Stevens Jhonson syndrome,1.0000001192092896,1.0000001192092896,0.6716808080673218,0.6401805281639099,0.6814000010490417,1
A patient comes to ER with headache describing it as worst headache in his life. What is the next step?,"Worst headache of my life s/o SAH Any intracranial bleeding, we need to do NCCT Shows blood in syln fissure from MCA (Middle cerebral aery) Lumbar puncture- C/I as patient may be having | ICT",1,CT brain,Lumbar puncture,MRI brain,Observation and analgesics,Medicine,AIIMS 2017,86222cd5-174b-4f22-b54c-280039bb8322,multi,CT brain,CT brain,0.999999701976776,0.999999701976776,0.6868590116500854,0.9215283393859864,0.7085803747177124,1
"According to Vertucci’s classification of root canal, the fig shows:",,3,Type III,Type IV,Type V,Type VI,Dental,,6f4298ba-7916-4f1d-bd69-bd85a464d629,single,Type V,Type III,0.9104762077331544,0.9999998807907104,0.9585399627685548,0.9104762077331544,0.910901665687561,1
"In SCHWARTZ formula for calculation of creatinine clearance in a child, the constant depends on the following except –","Schwartz formula (for creatine clearance in child).

Creatinine clearance = K x height./ creatinine.
K = constant

K depends upon --> Age, Muscle mass, Method of creatinine estimation",4,Age,Method of estimation of creatinine,Mass,Severity of renal failure,Pediatrics,,2a9cc59f-8f5f-4035-8010-07d1cc7a2f64,multi,Severity of renal failure,Severity of renal failure,1.0,0.6536466479301453,0.7247286438941956,0.6473128795623779,1.0,4
Pulpal medication and thermal protection is given by,,3,Solution liners (2-5 μm),Suspension Liners (25-30 μm),Traditional Liner (0.2-0.3 mm),Cement bases,Dental,,4a6df62e-15c7-471f-8dc7-d13ff49f0502,single,Traditional Liner (0.2-0.3 mm),Solution liners (2-5 μm),0.7938846945762634,1.0,0.9206547737121582,0.7938846945762634,0.7154549956321716,1
Epstein pearls are:,,1,Gingival cyst of newborn,Gingival cyst of adult,Enamel pearls,Epithelial rests,Pathology,,9a05d9f9-5d33-4d91-a084-6a11d7701611,single,Gingival cyst of newborn,Option 3,0.6046092510223389,0.6046092510223389,0.6053215861320496,0.682485044002533,0.6135411262512207,3
"White flecks yellow or brown spots on surface of teeth covering, giving papery white appearance",,1,Mottled enamel,Incipient caries,Dental stains,Smooth caries,Dental,,d5b9b2b3-09f3-41b8-89a1-232e7c61b806,single,Mottled enamel,Mottled enamel,0.9999999403953552,0.9999999403953552,0.7503002285957336,0.7627450227737427,0.74736088514328,1
Adult stage of filarial worms responsible for diseases in all of the following except:,"Ans: B. Onchocerca volvulus Adult stage of Onchocerca volvulus filarial worms does not cause any illness or disease.Onchocerciasis:Primarily affects skin, eyes & lymph nodes.In contrast to pathology in lymphatic filariasis, onchocerciasis damage elicited by microfilariae & not by adult parasites.Onchocerca microfilariae:Released from female worms causing most severe damage.Migrating microfilariae (exclusively found in interstitial fluids of skin & subdermal tissues not bloodstream).Cause changes in skin pigment & loss of elastic fibers a ""hanging groin, severe intractable & intolerable pruritus.Blindness (primarily men) develops over many years - Due to microfilariae accumulation in vitreous humor.Are not blood borne & hence, concentrate & remain in eye.Visual clouding, photophobia & ultimately retinal damage a Incurable blindness.(Ref: Harrison 19/e p1420).",2,Brugia malayi,Onchocerca volvulus,Mansonella ozzardi,Wuchereria bancrofti,Microbiology,,77a7b433-d391-4cef-b44e-5a9fd45d4756,multi,Onchocerca volvulus,Onchocerca volvulus,1.0000001192092896,0.6898378729820251,1.0000001192092896,0.693577766418457,0.6918588876724243,2
"Tooth in the mandibular arch which is most likely to be
displaced due to arch size discrepancy is",Mandibular 2nd premolar is the most likely tooth to be displaced due to arch size discrepancy.,4,First molar,Second molar,First premolar,Second premolar,Dental,,4abe89b3-2fab-4615-8ba3-be109a8927fb,single,Second premolar,Second premolar,1.0,0.7863636016845703,0.8200737833976746,0.9647470116615297,1.0,4
Inferiohyroid aery is a branch ol?,"Ans. A. Thyrocervical trunkRef: Grays Anatomy,4Ia ed., pg. 455458Inferior thyroid aery is branch of thyrocervical trunk of subclan aery.The thyrocervical trunk arises fiom the front of the first pa of the subclan aery near the medial border of scalenus anterior, and divides into the inferior thyroid, suprascapular and superficial cervical aeries.",1,Thyrocervical trunk,ICA,Costocervical trunk,ECA,Anatomy,,0b81f878-0e23-4c6b-9fcd-697e8ea660c3,single,Thyrocervical trunk,Thyrocervical trunk,0.9999999403953552,1.0,0.5994908809661865,0.8744901418685913,0.6040843725204468,1
Secondary flare provides a marginal metal of:,"Secondary flare:
It is a flat plane superimposed peripherally to the primary flare. Advantages are:

Secondary flare ensures cavosurface margins to extend into embrasures (self-cleansing area).
Permits easy burnishing and finishing of the restoration.
Produces more obtuse-angled and stronger cavosurface margin.

In class II cast gold inlay, proximal box should have flares so as to have metal of 30-40° which is burnishable.",2,10-20 degrees,30-40 degrees,140-150 degrees,None of the above,Dental,,aa635b02-d0c0-4006-a489-112ad9829e4d,multi,30-40 degrees,30-40 degrees,1.0,0.9120835065841676,1.0,0.8608531951904297,0.6012506484985352,2
A patient comes to a dentist with decayed mandibular 1st molar which involves the mesiobuccal and distobuccal cusp. The restoration of choice is:,"The cast-metal inlay is an alternative to amalgam or composite when the higher strength of a casting alloy is needed or when the superior control of contours and contacts that the indirect procedure provides is desired. The cast-metal onlay is often an excellent alternative to a crown for teeth that have been greatly weakened by caries or by large, failing restorations but where the facial and lingual tooth surfaces are relatively unaffected by disease or injury. For such weakened teeth, the superior physical properties of a casting alloy are desirable to withstand the occlusal loads placed on the restoration; also the onlay can be designed to distribute occlusal loads over the tooth in a manner that decreases the chance of tooth fracture in the future.
Sturdevant operative dentistry 7th Edition, Page No:e94",3,Intermediate restoration,Composite,Cast metal,GIC,Dental,,ecc4eaa4-4fcd-4c62-9c73-2a047b98cdc5,single,Cast metal,Cast metal,0.9999999403953552,0.7320502400398254,0.7409365773200989,0.9999999403953552,0.6769246459007263,3
Marathon runner had pain in anteromedial tibia on regular walking/jogging for long hours. X ray is normal. Doctor orders a bone scan. What may be the probable diagnosis,"Answer: B. Shin splintShin splints (medial tibial stress syndrome) is an inflammation of the muscles, tendons, and bone tissue around your tibia.Pain typically occurs along the inner border of the tibia, where muscles attach to the bone.Shin splint pain most often occurs on the inside edge of your tibia",2,Jones fracture,Shin splint,Lisfranc fracture,Nutcracker,Surgery,,23022df5-e07c-40f9-9f79-b3adff072f5e,single,Shin splint,Shin splint,0.9999999403953552,0.7096560001373291,0.9999999403953552,0.7746269106864929,0.6674906611442566,2
Radiographic finding in Pindborg tumour is,,3,burst appearance,Onion-peel appearance,Driven-snow appearance,Cherry-blossom appearance,Pathology,,66a92c79-4225-497b-a55b-349983929898,single,Driven-snow appearance,Burst appearance,0.7966946959495544,1.000000238418579,0.7859860062599182,0.7966946959495544,0.7617102265357971,1
Risk of endocarditis is more in all   in all of the following lesions except:,"Risk of endocarditis is less in low pressure lesions like Atrial septal defect (ASD) while it is more in high pressure lesions like ventricular septal defect (VSD), mitral regurgitation and aortic regurgitation.",4,VSD.,MR.,AR.,ASD.,Medicine,,5431f910-7edc-4bf7-a59a-00196a99b846,multi,ASD.,ASD,0.9003357291221619,0.8152905106544495,0.6495323777198792,0.7101101875305176,0.9003356695175171,4
"The green stains frequently seen on children's teeth are
caused by",,4,Materia alba,Enamel defects,Dentinal defects,Chromogenic bacteria,Dental,,fe1e99cd-7e44-4118-b421-5944a39e5ae5,single,Chromogenic bacteria,Chromogenic bacteria,0.9999998807907104,0.6758007407188416,0.6957917809486389,0.7128795981407166,0.9999998807907104,4
"At low infusion rates of 3-5 mcg/kg/min, what action is produced by dopamine?","Ans: B. Increased renal blood flow(Ref: Goodman Gilman 12/e p355; KDT 7/e p134. 6/e p507)Action of dopamine:At low concentrations (2 to 5 mcg/kg per minute):Primarily acts on vascular D1 receptors.Mainly renal, mesenteric & coronary beds.By activating adenylyl cyclase a raising intracellular cyclic AMP concentrations.D1 receptor stimulation a Vasodilation.Increases in glomerular filtration rate, renal blood flow & Nat+ K+ - ATPase pump.",2,Vasoconstriction,Increased renal blood flow,Increased cardiac contractility,Decreased blood pressure,Pharmacology,,416729b9-8f0b-45d1-aa27-6674dacb9975,single,Increased renal blood flow,Increased renal blood flow,1.0000001192092896,0.6724860072135925,1.0000001192092896,0.8420718312263489,0.8975486755371094,2
Posselt's diagram indicates?,,1,Motion of mandible,Protrusive relation of central incisor,Antero-superior relation of condyle in articular fossa in CR,None of the above,Dental,,aec7983a-c204-4413-a238-5363abd77faa,multi,Motion of mandible,Option 3,0.6357656717300415,0.6357656717300415,0.599425733089447,0.5878287553787231,0.6690629720687866,4
Which is the most common site for fracture in zygomatic arch fracture?,,3,At the suture,Anterior to zygomaticotemporal suture,Posterior to zygomaticotemporal suture,None of the above,Surgery,,71e11d65-2238-4a3f-9b41-bfb7218c66e5,multi,Posterior to zygomaticotemporal suture,At the suture,0.7466548681259155,1.0000001192092896,0.7444013357162476,0.7466548681259155,0.6133249998092651,1
While taking final impression tray should be seated first:,,1,Anteriorly,Posteriorly,Anteriorly or posteriorly depending upon operators choice,Anteriorly and posteriorly simultaneously,Dental,,01568e8b-f7f3-45bf-b1e0-3927e972d06c,single,Anteriorly,Anteriorly or posteriorly depending upon operators choice,0.7918936014175415,0.7918936610221863,0.7969586849212646,1.0,0.8596113324165344,3
"Following bilateral mandibular fracture in the canine region, the following muscles will tend to pull the mandible back:",,1,Genioglossus and anterior belly of digastric,Genioglossus and mylohyoid,Genioglossus and thyrohyoid,Genioglossus and masseter,Surgery,,07f7dc0f-6050-4d44-b532-71e4d2787bac,single,Genioglossus and anterior belly of digastric,Genioglossus and anterior belly of digastric,0.9999998807907104,0.9999998807907104,0.8495976328849792,0.8593225479125977,0.857232391834259,1
The anemia associated with leukemia,,3,Iron deficiency,Megaloblastic type,Myelophthisic type,All of the above,Medicine,,b674d02e-af50-4f16-9f81-e3983a854b6a,multi,Myelophthisic type,Option 3: Myelophthisic type,0.9246715307235718,0.6793369650840759,0.7909116148948669,0.9246715307235718,0.6264632940292358,3
To regain arch length in anterior segment by moving incisors labially,,1,Cephalometric analysis have to be made before taking up treatment,Use tongue blade therapy 20 times 1 day,Use of 7 spring with Hawley's retainer,Use on anterior bite plane,Dental,,f282ac31-8ff6-4a2b-b1d3-f2ce16552888,multi,Cephalometric analysis have to be made before taking up treatment,Option 1,0.6018573045730591,0.6018573045730591,0.6549769043922424,0.6783923506736755,0.6775380373001099,3
"According to scientists, recent studies says about the pattern of enamel prism demineralization, true is:","Enamel is mainly composed of millions of enamel rods or prisms, sheaths and a cementing inter rod substance.
Each rod has a head and tail. 
The head is directed occlusally and the tail is directed cervically. 
Basically, acid etching creates a 5 to 50 micron deep microporous layer into which adhesive resin flows. 
This results in a long-lasting enamel bond achieved via micromechanical interlocking between the resin and enamel.
Etching produces irregular and pitted surface with numerous microscopic undercuts with uneven dissolution of heads and tails, the latter being more resistant.

Ref: Textbook of Operative Dentistry, Nisha and Amit Garg, 3rd edition, Pg no:28,237",4,Head and tail both are resistant to dissolution,Head and tail both are not resistant to dissolution,Head is more resistant to dissolution,Tail is more resistant to dissolution,Dental,,3ff2f4ae-4e85-475c-9456-223c81930e98,multi,Tail is more resistant to dissolution,Option 3,0.6321874260902405,0.6263183355331421,0.6290467381477356,0.6352778077125549,0.6321874260902405,3
Central value of a set of 180 values can be obtained by,"Quartile: Divides a distribution into 4 equal parts, so the number of intercepts required will be 3, i.e. Q1, Q2, Q3

– So, Zero – Q1 covers 25% values
– Similarly, Q2 – Q1, Q3 – Q2 and 100 – Q3 all cover 25% values each
– Thus, Q2 – Zero, 100 – Q2 and Q3 – Q1 all cover 50% values each
– Q1 divides a distribution in a ratio of 25 : 75 OR 1 : 3
– Q2 divides a distribution in a ratio of 50 : 50 OR 1 : 1, Thus second quartile is equivalent to median
– Q3 divides a distribution in a ratio of 75 : 25 OR 3 : 1.
In the given question, n = 180
Thus Q2 which is equivalent to median, divides a distribution in a ratio of 50 : 50 OR 1 : 1.",3,2nd tertile,90th percentile,2nd quartile,9th decile,Social & Preventive Medicine,,764c0c80-b716-45a1-9fe7-b13588090401,single,2nd quartile,Option 3,0.6704108715057373,0.670724630355835,0.6142336130142212,0.6704108715057373,0.6563275456428528,1
"In order to reduce non-working side interference, reduce",,4,Maxillary supporting cusp,Mandibular supporting cusp,Both maxillary and mandibular supporting cusps,Either of the jaw’s supporting cusps,Dental,,73b84afd-bfc4-4fcb-aa45-345d1ef61dfc,multi,Either of the jaw’s supporting cusps,Both maxillary and mandibular supporting cusps,0.8136217594146729,0.8960006237030029,0.9026976227760316,1.0,0.8136217594146729,3
What will be treatment plan for a parasymphysial fracture in a 55 year old man.,,2,IMF for 3 weeks,IMF for 6 weeks,Compression plate is must,Non union will occur if reconstruction plate is not given,Surgery,,ec6967c1-a9cd-4905-966d-9c9b7bb5a8f2,single,IMF for 6 weeks,IMF for 3 weeks,0.9835821390151978,1.0000001192092896,0.9835821390151978,0.679811418056488,0.6716504693031311,1
ADA sp. Number fir dental excavating burs:,,4,20,21,22,23,Dental,,f9c97abd-33dd-4262-b287-42f7bd033097,single,23,21,0.8815057277679443,0.8996310830116272,1.0000003576278689,0.9056415557861328,0.8815057277679443,2
False about enamel rods is,Option C is false as diameter of enamel rod (avg) is 5 micrometer at DEJ and 8 micrometer at surface.,3,They are perpendicular to tooth surface,They are parallel to each other,Diameter of enamel rods is 30micrometer at DEJ,Diameter of enamel rod is 5 micrometer at DEJ,Dental,,fd188bc0-c100-44ae-bd1e-ef51e94e6425,multi,Diameter of enamel rods is 30micrometer at DEJ,Option C,0.640654981136322,0.6029132604598999,0.5781212449073792,0.640654981136322,0.6292816400527954,3
Radiographs are of no help in the diagnosis of,,3,Cementoma,Subluxation teeth,Acute alveolar abscess,Impacted canines,Radiology,,1a005431-798b-4360-83a1-01d29c494ca4,single,Acute alveolar abscess,Impacted canines,0.7340697050094604,0.6884133815765381,0.7540608048439026,0.7340697050094604,1.000000238418579,4
CPR should have a ratio of chest compression to mouth breathing of:,,2,1:04,4:01,2:03,3:02,Medicine,,a35fecfa-0c54-497b-957c-58da96b3716a,single,4:01,3:2,0.7890462875366211,0.761086106300354,0.7890462875366211,0.7598590850830078,0.8075821995735168,4
The use of stress breaker in modern dentistry is avoided because,,2,It affects abutment more,It affects alveolar ridge,It affects both abutment and alveolar ridge,None of the above,Dental,,08650ad1-3a19-41f4-a1d6-8e44e6413aca,multi,It affects alveolar ridge,It affects both abutment and alveolar ridge,0.9335169792175292,0.8395680785179138,0.9335169792175292,1.0000001192092896,0.632573664188385,3
Which of the following does not complicate into CHF –,"The ventricular septal defect of TOF is always large enough to allow free exit to the right to left shunt.
Since the right ventricle is effectively decompressed by VSD, Congestive cardiac failure never occurs in TOE
Exceptions to this rule are : -


Anemia                                                                                                     
Infective endocarditis

iii) Systemic hypertension
iv) Myocarditis complicating TOF
V) Aortic or pulmonic regurgitation.

Remember:
Following do not occur in TOF -->       o Cardiomegaly          o CHF              o Recurrent chest infections",3,Co–relation of aorta,Transposition of great vessels,Tetralogy of fallot's,Patent ductus arteriorus,Pediatrics,,914b925a-424d-4ca2-8a94-bdd73f14c65f,multi,Tetralogy of fallot's,Option 3,0.6216723918914795,0.6265559196472168,0.6458427309989929,0.6216723918914795,0.6278126835823059,2
Leeway space is due to ?,"When the primary molars and canine are exfoliated the combined width of primary molars and canine are significantly larger than the premolars and permanent canine that replace them, and the “leeway space” provided by this difference offers an excellent opportunity of natural or orthodontic adjustment of occlusal relationships at the end of the dental transition",1,Space differential between deciduous canine and molar and their succedaneous permanent teeth,Space differential between deciduous incisors and their succedaneous permanent teeth,Difference between deciduous and permanent maxillary and mandibular canines only,Difference between deciduous and permanent maxillary and mandibular molars only,Dental,,2fd85795-3aca-4bd2-b367-256d33655e91,single,Space differential between deciduous canine and molar and their succedaneous permanent teeth,Space differential between deciduous canine and molar and their succedaneous permanent teeth,1.0000001192092896,1.0000001192092896,0.9529985785484314,0.8350688219070435,0.8408268094062805,1
All are sensory to the palate except:,,4,Maxillary division of the trigeminal nerve,Facial nerve,Glossopharyngeal nerve,Hypoglossal nerve,Anatomy,,27a55dd4-2931-4c86-ba40-7f3b341c9b34,multi,Hypoglossal nerve,Maxillary division of the trigeminal nerve,0.7747195363044739,0.9999999403953552,0.7729739546775818,0.7725520730018616,0.7747195363044739,1
"According to Weber-Fechner's law, strength of stimulus perceived is directly propoional to:","Ans: A. Intensity of stimulus(Ref: Guyton 13/e p615)According to Weber-Fechner's Law, strength of stimulus perceived is directly propoional to intensity of stimulus.""Weber-Fechner Principle--Detection of ""Ratio"" of Stimulus Strength: In the mid 1800s, Weber first and Fechner later proposed the principle that gradations of stimulus strength are discriminated approximately in propoion to the logarithm of stimulus strength.",1,Intensity of stimulus,Amplitude of action potential,Number of neurons stimulated,Number of receptors stimulated,Physiology,,98893c1c-a979-476e-8b82-ef3bd2a02da7,single,Intensity of stimulus,Intensity of stimulus,1.000000238418579,1.000000238418579,0.8378497362136841,0.8101856112480164,0.7866183519363403,1
"In a functional implant, bone loss seen annually after 1 year is:",,2,1.5 to 2 mm,Less than 0.1 mm,1 to 2 mm,1 to 1.5 mm,Dental,,5c1480fc-941a-40a6-895b-537be91bcadb,multi,Less than 0.1 mm,Less than 0.1 mm,1.0,0.7183952927589417,1.0,0.7385647296905518,0.7712284922599792,2
A baby presents with tetany. First thing to be done is administration of :,"The baby presenting with tetany is hypocalcemic, so must be treated immediately with calcium gluconate I.V. Treatment of hypocalcemia.
Acute or Severe Tetany
The objective of the treatment is to correct hypocalcemia immediately with calcium gluconate I.V
Maintenance management of hypoparathyroidism and chronic hypocakenzia.
The objective is to maintain serum calcium and serum phosphase at approximately normal levels. It usually requires.

1. Diet  ---> Calcium supplements and diet rich in calcium.
2. Vitamin D supplementation  ---> Ergocakiferol or dihydrotachysterol.",3,Diazepam,Vitamin D,Calcium gluconate,Calcitonin,Pediatrics,,73b821cd-6c0f-427f-bd1c-ccc14a5f4267,single,Calcium gluconate,Calcium gluconate,1.0000001192092896,0.7082501649856567,0.737764298915863,1.0000001192092896,0.7487618327140808,3
